name,gender,field,text
Sharon_Arroyo,female,math,"Arroyo is part of the 43-member Applied Mathematics Group at Boeing's Research and Technology group where she works with Boeing's engineers to develop mathematical algorithms and tools that they can use to reduce costs and contracting costs and the improve company's product designs. In the course of her work, she works with ""all aspects of the mathematical problem solving process"" from defining problem requirements to developing mathematical formulations, constructing and implementing algorithms and delivering tools and supporting analysis. She has provided mathematics support on a wide variety of Boeing projects including airline scheduling, supply chain logistics, transportation scheduling, production issues, communications networks, scheduling for in-flight refueling and sensor scheduling.   == Service and recognition == Arroyo is vice president for industry of the Society for Industrial and Applied Mathematics (SIAM). She was elected to the 2022 Class of SIAM Fellows, ""for leadership in, promotion of, and contributions to the industrial practice of operations research"". She was a 2019 winner of the WORMS Award for the Advancement of Women in Operations Research and Management Science. She is also a member of the Steering Committee of the BIG Math Network.  "
Leah_Berman,female,math,"Berman was born in 1976 in St. Louis. She is the daughter of Harry J. Berman, a psychologist and gerontologist at the University of Illinois at Springfield. As a high school student at the Illinois Mathematics and Science Academy, Berman competed in the state Scholastic Bowl Tournament. She chose a double major in mathematics and philosophy at Lewis & Clark College, graduating in 1997 as one of the seven members of that year's graduating class to join the college's Pamplin Society of Fellows. She completed her Ph.D. in mathematics in 2002 at the University of Washington. Her dissertation, Astral Configurations, was supervised by Branko Grünbaum, as one of Grünbaum's two final doctoral students after he had already retired to become an emeritus professor. After working as a faculty member in the department of mathematics and computer science at Ursinus College from 2002 to 2009, Berman joined the University of Alaska faculty in 2009.   == Political activities == In 2018, Berman was elected to the Fairbanks North Star Borough Assembly for a three-year term. As a member of the assembly, she sponsored successful legislation to rewrite the borough's ordinances using gender-neutral pronouns.  "
Alexandra_Bellow,female,math," Bellow was born in Bucharest, Romania, on August 30, 1935, as Alexandra Bagdasar. Her parents were both physicians. Her mother, Florica Bagdasar (née Ciumetti), was a child psychiatrist. Her father, Dumitru Bagdasar, was a neurosurgeon. She received her M.S. in mathematics from the University of Bucharest in 1957, where she met and married her first husband, mathematician Cassius Ionescu-Tulcea. She accompanied her husband to the United States in 1957 and received her Ph.D. from Yale University in 1959 under the direction of Shizuo Kakutani with thesis Ergodic Theory of Random Series. After receiving her degree, she worked as a research associate at Yale from 1959 until 1961, and as an assistant professor at the University of Pennsylvania from 1962 to 1964. From 1964 until 1967, she was an associate professor at the University of Illinois at Urbana–Champaign. In 1967, she moved to Northwestern University as a Professor of Mathematics. She was at Northwestern until her retirement in 1996, when she became Professor Emeritus. During her marriage to Cassius Ionescu-Tulcea (1956–1969), she and her husband co-wrote many papers and a research monograph on lifting theory. Alexandra's second husband was the writer Saul Bellow, who was awarded the Nobel Prize in Literature in 1976, during their marriage (1975–1985). Alexandra features in Bellow's writings; she is portrayed lovingly in his memoir To Jerusalem and Back (1976), and, his novel The Dean's December (1982), more critically, satirically in his last novel,  Ravelstein (2000), which was written many years after their divorce. The decade of the nineties was for Alexandra a period of personal and professional fulfillment, brought about by her marriage in 1989 to the mathematician Alberto P. Calderón. Bellow died in Chicago, Illinois on May 2, 2025, at the age of 89.   == Mathematical work ==   === Lifting theory === Some of her early work involved properties and consequences of lifting. Lifting theory, which had started with the pioneering papers of John von Neumann and later Dorothy Maharam, came into its own in the 1960s and 1970s with the work of the Ionescu Tulceas and provided the definitive treatment for the representation theory of linear operators arising in probability, the process of disintegration of measures. Their Ergebnisse monograph from 1969 became a standard reference in this area. By applying a lifting to a stochastic process, the Ionescu Tulceas obtained a ‘separable’ process; this gives a rapid proof of Joseph Leo Doob's theorem concerning the existence of a separable modification of a stochastic process (also a ‘canonical’ way of obtaining the separable modification). Furthermore, by applying a lifting to a ‘weakly’ measurable function with values in a weakly compact set of a Banach space, one obtains a strongly measurable function; this gives a one line proof of Phillips's classical theorem (also a ‘canonical’ way of obtaining the strongly measurable version). We say that a set H of measurable functions satisfies the ""separation property"" if any two distinct functions in H belong to distinct equivalence classes. The range of a lifting is always a set of measurable functions with the ""separation property"". The following ‘metrization criterion’ gives some idea why the functions in the range of a lifting are so much better behaved.  Let H be a set of measurable functions with the following properties: (I) H is compact (for the topology of pointwise convergence); (II) H is convex; (III) H satisfies the ""separation property"". Then H is metrizable. The proof of the existence of a lifting commuting with the left translations of an arbitrary locally compact group, by the Ionescu Tulceas, is highly non-trivial; it makes use of approximation by Lie groups, and martingale-type arguments tailored to the group structure.   === Martingales === In the early 1960s, she worked with C. Ionescu Tulcea on martingales taking values in a Banach space. In a certain sense, this work launched the study of vector-valued martingales, with the first proof of the ‘strong’ almost everywhere convergence for martingales taking values in a Banach space with (what later became known as) the Radon–Nikodym property; this, by the way, opened the doors to a new area of analysis, the ""geometry of Banach spaces"". These ideas were later extended by Bellow to the theory of ‘uniform amarts’, (in the context of Banach spaces, uniform amarts are the natural generalization of martingales, quasi-martingales and possess remarkable stability properties, such as optional sampling), now an important chapter in probability theory.   === Ergodic theory === In 1960, Donald Samuel Ornstein constructed an example of a non-singular transformation on the Lebesgue space of the unit interval, which does not admit a                         σ                 {\displaystyle \sigma }    –finite invariant measure equivalent to Lebesgue measure, thus solving a long-standing problem in ergodic theory. A few years later, Rafael V. Chacón gave an example of a positive (linear) isometry of                                    L                        1                                     {\displaystyle L_{1}}     for which the individual ergodic theorem fails in                                    L                        1                                     {\displaystyle L_{1}}    . Her work unifies and extends these two remarkable results. It shows, by methods of Baire category, that the seemingly isolated examples of non-singular transformations first discovered by Ornstein and later by Chacón, were in fact the typical case. Beginning in the early 1980s, Bellow began a series of papers that brought about a revival of that area of ergodic theory dealing with limit theorems and the delicate question of pointwise a.e. convergence. This was accomplished by exploiting the interplay with probability and harmonic analysis, in the modern context (the Central limit theorem, transference principles, square functions and other singular integral techniques are now part of the daily arsenal of people working in this area of ergodic theory) and by attracting a number of talented mathematicians who were very active in this area. One of the two problems that she raised at the Oberwolfach meeting on ""Measure Theory"" in 1981, was the question of the validity, for                         f                 {\displaystyle f}     in                                    L                        1                                     {\displaystyle L_{1}}    , of the pointwise ergodic theorem along the ‘sequence of squares’, and along the ‘sequence of primes’ (A similar question was raised independently, a year later, by Hillel Furstenberg). This problem was solved several years later by Jean Bourgain, for                         f                 {\displaystyle f}     in                                    L                        p                                     {\displaystyle L_{p}}    ,                         p         >         1                 {\displaystyle p>1}     in the case of the ""squares"", and for                         p         >         (         1         +                                 3                             )                    /                  2                 {\displaystyle p>(1+{\sqrt {3}})/2}     in the case of the ""primes""  (the argument was pushed through to                         p         >         1                 {\displaystyle p>1}     by Máté Wierdl; the case of                                    L                        1                                     {\displaystyle L_{1}}     however has remained open). Bourgain was awarded the Fields Medal in 1994, in part for this work in ergodic theory. It was Ulrich Krengel who first gave, in 1971, an ingenious construction of an increasing sequence of positive integers along which the pointwise ergodic theorem fails in                                    L                        1                                     {\displaystyle L_{1}}     for every ergodic transformation. The existence of such a ""bad universal sequence"" came as a surprise. Bellow showed that every lacunary sequence of integers is in fact a ""bad universal sequence"" in                                     L                        1                                     {\displaystyle L_{1}}    . Thus lacunary sequences are ‘canonical’ examples of ""bad universal sequences"". Later she was able to show that from the point of view of the pointwise ergodic theorem, a sequence of positive integers may be ""good universal"" in                                    L                        p                                     {\displaystyle L_{p}}    , but ""bad universal"" in                                    L                        q                                     {\displaystyle L_{q}}    , for all                         1         ≤         q         <         p                 {\displaystyle 1\leq q<p}    . This was rather surprising and answered a question raised by Roger Jones. A place in this area of research is occupied by the ""strong sweeping out property"" (that a sequence of linear operators may exhibit). This describes the situation when almost everywhere convergence breaks down even in                                    L                        ∞                                     {\displaystyle L_{\infty }}     and in the worst possible way. Instances of this appear in several of her papers. The ""strong sweeping out property"" plays an important role in this area of research. Bellow and her collaborators did an extensive and systematic study of this notion, giving various criteria and numerous examples of the strong sweeping out property. Working with Krengel, she was able to give a negative answer to a long-standing conjecture of Eberhard Hopf. Later, Bellow and Krengel working with Calderón were able to show that in fact the Hopf operators have the ""strong sweeping out"" property. In the study of aperiodic flows, sampling at nearly periodic times, as for example,                                    t                        n                             =         n         +         ε         (         n         )                 {\displaystyle t_{n}=n+\varepsilon (n)}    , where                         ε                 {\displaystyle \varepsilon }     is positive and tends to zero, does not lead to a.e. convergence; in fact strong sweeping out occurs. This shows the possibility of serious errors when using the ergodic theorem for the study of physical systems. Such results can be of practical value for statisticians and other scientists. In the study of discrete ergodic systems, which can be observed only over certain blocks of time, one has the following dichotomy of behavior of the corresponding averages: either the averages converge a.e. for all functions in                                    L                        1                                     {\displaystyle L_{1}}    , or the strong sweeping out property holds. This depends on the geometric properties of the blocks. Several mathematicians (including Bourgain) worked on problems posed by Bellow and answered those questions in their papers.  "
Jillian_Beardwood,female,math,"Beardwood was born in Norwich, England in 1934. After attending The Blyth School for Girls, she studied mathematics at St. Hugh's College, Oxford, earning first-class honours and a master's degree in 1956.   After university, Beardwood accepted a position at the newly formed United Kingdom Atomic Energy Authority (UKAEA), where she was one of four postgraduate students selected to study with John Hammersley, a professor at Trinity College, Oxford. In that position, Beardwood gained access to the Ferranti Mercury computer at the UKAEA's research facility at Harwell, as well as to the ILLIAC II computer at the University of Illinois. She was later promoted to Senior Scientific Officer at the UKAEA, where she specialised in Monte Carlo methods and algorithms for modeling complex geometrical situations.   == The Beardwood-Halton-Hammersley Theorem == The problem of determining the shortest closed path through a given set of n points is often called the ""travelling salesman problem"". A salesman, starting at and finally returning to his base, visits (n-1) other towns by the shortest possible route. If it is large, it may be prohibitively difficult to calculate the total mileages for each of the (n-1)! orders in which the towns may be visited, and to choose the smallest total. As a practical substitute for an exact formula to determine the length of the shortest path, the Beardwood-Halton-Hammersley Theorem derived a simple asymptotic formula for the shortest length when n is large. The travelling salesman problem can involve either fixed or random points distributed over a certain region. The Theorem established that the shortest length between random points is asymptotically equal to a non-random function of n. For large n the distinction between the random and the non-random versions of the problem effectively vanishes. David L. Applegate described this in 2011 as a ""famous result"", and said ""The remarkable theorem of Beardwood-Halton-Hammersley has received considerable attention in the research community, ""with demonstrated uses in probability theory, physics, operations research and computer science.   After leaving the UKAEA in 1968, Beardwood worked in transport modeling for the UK government's Road Research Laboratory. In 1973, she joined the staff of the Greater London Council (GLC) where she directed the transport studies group until the GLC was dissolved in 1987. Her team helped to plan the M25 orbital motorway around London and early congestion pricing systems.  One of Beardwood's most cited studies for the GLC, ""Roads Generate Traffic"", found that highway construction encourages people to drive and leads to increased congestion. ""All that increases in road capacity do is allow people to abandon public transport in favour of the car"". Beardwood's research accurately predicted that the M25 would quickly exceed its maximum capacity. It has been cited in support of policies encouraging the use of bicycles and other alternatives to cars. Similarly, her later work included a study which predicted that the proposed East London River Crossing would quickly become congested if there were no significant routes available to provide relief.  After the GLC's dissolution, Beardwood was employed in (and was a retained consultant to) the private sector, including for the transport planning consultancy MVA, Marcial Echenique and Partners Ltd and WSP Group. She also worked in academic posts, as a senior research fellow at the London School of Economics and as a lecturer in transport planning at the Polytechnic of Central London (1989–90).   "
Ellen_Baake,female,math,"Baake earned a diploma in biology in 1985 from the University of Bonn, and completed her Ph.D. there in theoretical biology in 1989. Her dissertation, Ein Differentialgleichungsmodell zur Beschreibung der Fluoreszenzinduktion (OIDP-Kinetik) der Photosynthese, was supervised by Wolfgang Alt. She earned a habilitation at LMU Munich in 1999. In 2007, she was a visiting researcher on a Kloosterman Chair at Leiden University and she held faculty positions at several other universities before joining Bielefeld University. In 2004, she was named an associate professor of biomathematics and theoretical bioinformatics at the Faculty of Engineering, and since 2012, she has been a full professor there, jointly affiliated with the Faculty of Mathematics. Baake was an invited speaker at the 2010 International Congress of Mathematicians in Hyderabad, India. In 2011, she declined an offer of a W3 professorship in Biomathematics at the Department of Mathematics at the University of Erlangen-Nuremberg. Her research focuses on the mathematical foundations of population genetics and mathematical immunobiology, where she further develops the necessary stochastic methods and uses them to investigate specific questions in evolutionary theory.  "
Beulah_Armstrong,female,math,"Beulah was born November 18, 1895 in Sterling, Kansas, the third of five children of Lillie J. Detter and John Allen Armstrong, both Pennsylvania natives. In 1900 the family lived in Enterprise Township, Ford County, Kansas, where her father was a farmer, and by 1910 they had moved to Hutchinson, Kansas. Beulah graduated from Hutchinson High School and then attended Baker University in Baldwin City, a co-educational Methodist Church school in eastern Kansas. After receiving her bachelor 's degree from Baker University in 1917, she received a scholarship to attend the University of Kansas, and in 1918 she earned her master's degree there. Her master's thesis was titled, Simple And Complete K-Points in Continuous and in Modular Projective Spaces. She was offered an additional scholarship to continue her studies at Kansas, but did not accept it apparently because she was keen on doing graduate work at the University of Illinois where she was offered a scholarship for the academic year 1918–1919 and a fellowship for the following year. She earned her PhD there in 1921 under George Abram Miller with the dissertation: Mathematical Induction in Group Theory. She taught at the University of Illinois from 1921 to 1931, was an associate from 1931 to 1945, then became an assistant professor from 1945 to 1959, and finally an associate professor at Illinois from 1959 until her retirement as an associate professor emeritus in 1963. She was heavily involved with advising aspiring math teachers while they studied with her at Illinois and she taught many of the math courses they were scheduled to take. In addition, she was one of the instructors for the University's correspondence courses.  She was active in a number of organizations on and off campus. She was secretary-treasurer of the Sigma Xi honor society and was a member of Kappa Delta Pi. She was listed in the Who's Who of American Women in the late 1950s. She died suddenly at age 69 at her home on February 22, 1965, in Urbana, Illinois. She was buried in Fairlawn Cemetery, Hutchinson, Kansas and, in her will, she bequeathed $1,000 to her first alma mater Baker University.   == Memberships == Organizational affiliations, according to Green.  American Mathematical Society (AMS) Mathematical Association of America (MAA) Sigma Delta Epsilon Sigma Xi Pi Mu Epsilon Phi Beta Kappa  "
Catherine_Cavagnaro,female,math,"Cavagnaro was one of three daughters of Louis Cavagnaro (1927–2014), a descendant of Italian immigrants who grew up in the Yosemite Valley and became a builder of dish antennae including the Stanford Dish. Her mother, Catherine Mary Kickham, was originally from Kilkenny, Ireland; her parents settled in California's Santa Clara Valley and later founded a Celtic goods store there.   Cavagnaro graduated from Santa Clara University in 1987, and completed her PhD at the University of Illinois Urbana-Champaign in 1995. Her doctoral dissertation, A Homotopy Reciprocity Law for Ribbon Disc Complements, concerned homotopy in low-dimensional topology, and was supervised by Robert F. Craggs. In it, she credits Paul Halmos for, as she puts it, ordering her to go to graduate school. Meanwhile, she joined the mathematics faculty of Sewanee: The University of the South in 1993. She has served as chair of the mathematics department at Sewanee, and introduced mathematics courses relating to her aviation interests, on topics including aerodynamics and the use of differential equations to model physical phenomena. In 2001, Cavagnaro and William T. Haight II co-edited the Dictionary of Classical and Theoretical Mathematics, published by the CRC Press as the third volume of their Comprehensive Dictionary of Mathematics book series.   == Aviation == As a mathematics student, Cavagnaro loved to watch airplanes while doing her homework, and dreamed of flying but was unable to afford the lessons. She finally took up flying in 1999, while on a sabbatical after earning tenure at Sewanee; her initial lessons were a tenth-anniversary gift from her husband. She became a certified flight instructor in 2001, and became specialized in flight aerobatics after training with ""spin doctor"" William K. Kershner. Cavagnaro's planes have included a Cessna 152 Aerobat, a Beechcraft Bonanza, and a Piper Cherokee 140. Kershner held the record for consecutive turns in a flat spin in an aircraft, with 25 turns; Cavagnaro broke it by performing 60 consecutive turns in her Cessna, and filmed the results to document the fact that the spin recovery technique does not change after larger numbers of turns. Subsequently, Spencer Suderman performed even more consecutive turns, with 81 in 2014 and 98 in 2016. From 2004 to 2008 she was a visiting professor of aviation systems at the University of Tennessee Space Institute, working as a test pilot to study the stability under icing of a de Havilland Canada DHC-6 Twin Otter owned by NASA. She runs the Ace Aerobatic School in Sewanee, Tennessee, is a regular columnist for the Aircraft Owners and Pilots Association, and is a designated examiner for the Federal Aviation Administration.  "
Paola_Antonietti,female,math,"Antonietti was born in 1980 in Milan. She earned a laurea cum laude from the University of Pavia in 2003, and continued there for a Ph.D. in 2007. Her dissertation, Domain decomposition, spectral correctness and numerical testing of discontinuous Galerkin methods, was jointly supervised by Annalisa Buffa and Ilaria Perugia, and included time as a visiting student at the University of Oxford. After postdoctoral research at the University of Nottingham, she returned to Italy as a tenure-track assistant professor in the Polytechnic University of Milan in 2008. She was given tenure as an associate professor in 2015, promoted to full professor in 2019, and was appointed head of the Laboratory of Modeling and Scientific Computing (MOX) by Irene Sabadini in 2023.   == Recognition == As a student, Antonietti won the S. Cinquini and M. Cinquini Cibrario Prize of the University of Pavia.  In 2008, the Italian Society for Industrial Applications of Mathematics (SIMAI) gave her their F. Saleri prize, and she was the winner of the 2015 SIMAI prize. In 2020, the European Community on Computational Methods in Applied Sciences (ECCOMAS) gave her their Jacques-Louis Lions award. She is the recipient of the “NEMESIS” ERC SYNERGY grant 2023.  "
Margaret_Brown,female,math,"  Margaret Tobin was born on July 18, 1867, near the Mississippi River in Hannibal, Missouri, on Denkler's Alley. The three-room cottage where she was born is now the Molly Brown Birthplace and Museum; it is on 600 Butler Street in Hannibal. Her parents were Irish Catholic immigrants John Tobin and Johanna (Collins) Tobin. Her siblings were Daniel Tobin, Michael Tobin, William Tobin, and Helen Tobin. Both of Margaret's parents had previously been married to other spouses who had died. Brown had two half-sisters: Catherine Bridget Tobin, by her father's first marriage, and Mary Ann Collins, by her mother's first marriage. Called Maggie by her family, she attended her maternal aunt Mary O'Leary's grammar school, which was across the street from her home. Nearby was also the Hannibal Gas Works where her father worked as a laborer. Their neighborhood was a tight-knit Irish Catholic community, where people traveled westward through the town for the gold fields. At age 18, Margaret relocated to Leadville, Colorado, with her siblings Daniel Tobin, Mary Ann Collins Landrigan, and Mary Ann's husband John Landrigan. Margaret and her brother Daniel shared a two-room log cabin, and she found work sewing carpets and draperies at a dry goods store, Daniels, Fisher and Smith. Daniel was a miner.   == Marriage and children ==  In Leadville, she met and married James Joseph Brown (1854–1922), nicknamed ""J.J."", an imaginative, self-educated man. He was not a rich man, and she married J.J. for love. After his death she said:  I wanted a rich man, but I loved Jim Brown. I thought about how I wanted comfort for my father and how I had determined to stay single until a man presented himself who could give to the tired older man the things I longed for him. Jim was as poor as we were and had no better chance. I struggled hard with myself in those days. I loved Jim, but he was poor. Finally, I decided that I'd be better off with a poor man whom I loved than with a wealthy one whose money had attracted me. So I married Jim Brown. Margaret and J.J. married in Leadville Annunciation Church on September 1, 1886. They had two children: Lawrence Palmer Brown (1887–1949), known as Larry, and Catherine Ellen Brown (1889–1969), known as Helen. They also raised three of their nieces: Grace, Florence, and Helen Tobin.   == Mining success == In 1893, the Brown family acquired great wealth when J.J.'s mining engineering efforts proved instrumental in the exploration of a substantial ore seam at the Little Jonny Mine. His employer, Ibex Mining Company, awarded him 12,500 shares of stock and a seat on the board. In Leadville, Margaret helped by working in soup kitchens to assist miners' families. In 1894, the Browns bought a Victorian mansion, now known as the Molly Brown House, in Denver for US$30,000 (equivalent to $1,116,000 in 2025). In 1897, they built a summer house, Avoca Lodge, in Southwest Denver near Bear Creek, which gave the family more social opportunities. Margaret became a charter member of the Denver Woman's Club, whose mission was the improvement of women's lives by continuing education and philanthropy.  Adjusting to the trappings of a society lady, Brown became immersed in the arts and fluent in French, German, Italian, and Russian. Brown co-founded a branch in Denver of the Alliance Française to promote her love of French culture. She lobbied for women's right to vote.   == Passenger on the Titanic ==  Brown spent the first months of 1912 in Paris, visiting her daughter and as part of the John Jacob Astor IV party, until she received word from Denver that her eldest grandchild, Lawrence Palmer Brown Jr., was ill. She immediately booked passage on the first available liner leaving for New York, the RMS Titanic. Originally, her daughter Helen was supposed to accompany her, but Helen, who had studied at the Sorbonne in Paris, decided to take a side trip to London with friends. Brown boarded the Titanic as a first-class passenger on the evening of April 10, conveyed aboard the tender SS Nomadic at Cherbourg, France, and sailed for New York City that night.  Upon being rescued by the ship RMS Carpathia, Brown proceeded to organize a committee with other first-class survivors. The committee worked to secure basic necessities for the second- and third-class survivors, and even provided informal counseling.   In 1914, six years before the Nineteenth Amendment granted women the right to vote, Brown ran for Colorado's U.S. Senate seat, but she ended her campaign to serve abroad as the director of the American Committee for Devastated France during World War I. Also in 1914, she contributed to miners and their families after the 1914 Ludlow Massacre and she helped organize the International Women's Rights conference that year, which was held in Newport, Rhode Island. During and after World War I, she worked in France with the Red Cross and later with the American Committee for Devastated France to help wounded French and American soldiers and rebuild areas behind the front line. For her work organizing female ambulance drivers, nurses, and food distributors, Brown was awarded the French Legion of Honor in 1932.  J.J. Brown died on September 5, 1922. Margaret told newspapers that although she had met royalty and other great people around the world, ""I've never met a finer, bigger, more worthwhile man than J.J. Brown."" J.J. Brown left vast, yet complicated, real estate, mining, and stock holdings. It was unknown to the Browns and their lawyers how much was left in the estate. Prior to J.J.'s death, he had transferred a large amount of money to his children. Their children were also unaware of how much money Margaret had, but were displeased at the large amounts she spent on charity.  Margaret Brown and her children fought in court for six years to settle the estate. In the 1920s, Margaret Brown focused her energy on personal passions, especially the theater. She died in her sleep at 10:55 p.m. on October 26, 1932, at age 65, in New York City's Barbizon Hotel. Subsequent autopsy revealed a brain tumor. She was buried next to J.J. at St. Brigid's cemetery, now known as Cemetery of the Holy Rood, in Westbury, New York, following a small ceremony on October 31, 1932, attended by close friends and family. There was singing, but no eulogy.   == Legacy ==  Brown's fame as a Titanic survivor helped her promote the philanthropic and activism issues she felt strongly about. She was concerned about the rights of workers and women, education and literacy for children, historic preservation, and commemoration of the bravery and chivalry displayed by the men aboard the Titanic. Avoca Lodge, known as The Molly Brown Summer House, is in southwest Denver, Colorado near Bear Creek; the home served as a summer retreat for Brown and her husband James Joseph Brown. It is listed on the National Register of Historic Places. Brown's Denver, Colorado, home has been a museum since 1971. It is called the Molly Brown House Museum. There is a trail marker outside it as part of the National Votes for Women Trail; the marker was stolen in November 2023, but was found later that month. On November 3, 1960, the Broadway musical The Unsinkable Molly Brown opened at the Winter Garden Theatre in New York City with music by Meredith Willson and book by Richard Morris. It starred Tammy Grimes as Molly Brown and ran for 532 performances. The 1964 film of the same name starred Debbie Reynolds; who was nominated for the Academy Award for Best Actress for her portrayal of Brown. The three-room cottage where Brown was born is now the Molly Brown Birthplace and Museum; it sat at 600 Butler Street in Hannibal, Missouri until 2024. After dealing with issues of black mold for years, on December 17, 2024 the Molly Brown Birthplace was moved to Main Street in Hannibal, across the street from the Mark Twain boyhood home. The theme park Disneyland Paris features a 19th-century riverboat attraction, the Molly Brown Riverboat, named after her. In 1965, astronauts Gus Grissom and John Young named their Gemini spacecraft Molly Brown in her honor. In 1985, Brown was inducted into the Colorado Women's Hall of Fame.   === Portrayals === Brown has been portrayed by:   Thelma Ritter (1953) (Titanic). Brown's name was changed to Maude Young, and her Colorado gold-mining fortune became a Montana lead-mining fortune. Cloris Leachman (1957) (Telephone Time) (""The Unsinkable Molly Brown"") Tucker McGuire (1958) (A Night to Remember) Tammy Grimes (1960) (The Unsinkable Molly Brown) (Broadway musical); Grimes won a Tony Award for her performance. Debbie Reynolds (1964) (The Unsinkable Molly Brown) (film version); Reynolds received an Academy Award nomination for Best Actress. Cloris Leachman (1979) (S.O.S. Titanic) (TV movie); Leachman reprises her role from 20 years previously Fionnula Flanagan (1983) (Voyagers!) (""Voyagers of the Titanic"") Susana Giménez (1991) (The Unsinkable Molly Brown Argentine version of the Broadway Musical) Marilu Henner (1996) (Titanic) (TV miniseries) Kathy Bates (1997) (Titanic) Morgan Hill (1998) (Titanic: Secrets Revealed) Judy Prestininzi (2003) (Ghosts of the Abyss) (Documentary) Judy Prestininzi (2005) (Last Mysteries of the Titanic) (Documentary) Linda Kash (2012) (Titanic) (TV series/2 episodes) Charlotte McCurry (2012) (Save Our Souls: The Titanic Inquiry) Beth Malone (2020) (The Unsinkable Molly Brown) (Off Broadway revival) Kathy Deitch (2022) (Titanique) (Off Broadway musical)   == Notes ==  "
Asuman_Aksoy,female,math,"After completing her doctorate, Aksoy joined the faculty of Oakland University in 1984, and was tenured there in 1987. She moved to Claremont McKenna in 1990, and chaired the mathematics department there from 1997 to 2000 and again from 2007 to 2009. She was given the Crown Professorship and Roberts Fellowship in 2009.   == Books == With Mohamed Amine Khamsi, Aksoy is the author of two books:  Nonstandard Methods in Fixed Point Theory (Universitext, Springer, 1990) A Problem Book in Real Analysis (Springer, 2009)   == Recognition == In 2006 the Southern California–Nevada Section of the Mathematical Association of America gave Aksoy their annual Award for Distinguished College or University Teaching of Mathematics.  "
