name,gender,field,word_count
John_von_Neumann,male,math,11035
Carl_Friedrich_Gauss,male,math,9993
Pierre-Simon_Laplace,male,math,9251
Alan_Turing,male,math,8470
Srinivasa_Ramanujan,male,math,6713
Leonhard_Euler,male,math,5442
Michael_Atiyah,male,math,5167
Joseph-Louis_Lagrange,male,math,4407
Ronald_Fisher,male,math,4350
David_Hilbert,male,math,4347
Emil_Artin,male,math,3995
Freeman_Dyson,male,math,3975
Alexander_Grothendieck,male,math,3963
Augustin-Louis_Cauchy,male,math,3571
Imre_Lakatos,male,math,3438
Évariste_Galois,male,math,3131
Claude_Shannon,male,math,3048
Shiing-Shen_Chern,male,math,3032
Hermann_Weyl,male,math,2553
Kurt_Gödel,male,math,2405
