model,representation,cleaning,text_scope,classifier,accuracy,precision_macro,recall_macro,macro_f1,status,note
tfidf_unigram_logreg_basic_full_text,tfidf_unigram,basic,full_text,logistic_regression,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,ok,
tfidf_unigram_bigram_logreg_basic_full_text,tfidf_unigram_bigram,basic,full_text,logistic_regression,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,ok,
tfidf_unigram_bigram_svm_basic_full_text,tfidf_unigram_bigram,basic,full_text,svm,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,ok,
tfidf_unigram_logreg_strict_full_text,tfidf_unigram,strict,full_text,logistic_regression,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,ok,
tfidf_unigram_bigram_logreg_strict_full_text,tfidf_unigram_bigram,strict,full_text,logistic_regression,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,ok,
tfidf_unigram_bigram_svm_strict_full_text,tfidf_unigram_bigram,strict,full_text,svm,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,ok,
tfidf_unigram_logreg_basic_first_300_words,tfidf_unigram,basic,first_300_words,logistic_regression,0.9166666666666666,0.9179566563467492,0.9166666666666666,0.9166023166023166,ok,
tfidf_unigram_bigram_logreg_basic_first_300_words,tfidf_unigram_bigram,basic,first_300_words,logistic_regression,0.9166666666666666,0.9179566563467492,0.9166666666666666,0.9166023166023166,ok,
tfidf_unigram_bigram_svm_basic_first_300_words,tfidf_unigram_bigram,basic,first_300_words,svm,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,ok,
tfidf_unigram_logreg_strict_first_300_words,tfidf_unigram,strict,first_300_words,logistic_regression,0.9166666666666666,0.9179566563467492,0.9166666666666666,0.9166023166023166,ok,
tfidf_unigram_bigram_logreg_strict_first_300_words,tfidf_unigram_bigram,strict,first_300_words,logistic_regression,0.9166666666666666,0.9179566563467492,0.9166666666666666,0.9166023166023166,ok,
tfidf_unigram_bigram_svm_strict_first_300_words,tfidf_unigram_bigram,strict,first_300_words,svm,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,ok,
sbert_logreg_strict,sentence_bert,strict,full_text,logistic_regression,0.8055555555555556,0.8142857142857143,0.8055555555555556,0.8041958041958042,ok,
